time,pos_w_x,pos_w_y,pos_w_z,vel_w_x,vel_w_y,vel_w_z,ang_vel_b_x,ang_vel_b_y,ang_vel_b_z,quat_b_to_w_w,quat_b_to_w_x,quat_b_to_w_y,quat_b_to_w_z,F_net_w_x,F_net_w_y,F_net_w_z,Tau_b_x,Tau_b_y,Tau_b_z
0.7300000000000004,5.903571490297008,-5.37640286600469,-17.136727633447073,21.366851558119706,-20.771383979134033,-17.61703114289006,0.0,-7.152095908622207,-7.188005998571633,0.27467502056223025,-0.47499892474700317,-0.678499784272957,-0.48843392317680007,-24.61484200103689,22.0840409083196,104.18375000721156,0.0,-9.933466539753063,-9.983341664682815
0.7400000000000004,6.11412177008325,-5.581237786315974,-17.302862198708663,21.055027978624278,-20.483492031128446,-16.613456526159027,0.0,-7.251430574019738,-7.287839415218461,0.2319322598164123,-0.46735982019777167,-0.7048590556484506,-0.48057875212241047,-31.18235794954273,28.789194800558544,100.35746167310319,0.0,-9.933466539753063,-9.983341664682815
0.7500000000000004,6.320920676372665,-5.782544185249375,-17.459443906891817,20.67989062894139,-20.13063989334009,-15.65817081831557,0.0,-7.350765239417268,-7.38767283186529,0.1879791442906495,-0.45835601207928234,-0.7296785615510818,-0.4713202778528377,-37.51373496828863,35.28521377883568,95.5285707843456,0.0,-9.933466539753063,-9.983341664682815
0.7600000000000005,6.5233668613664335,-5.979701624213775,-17.6070546245557,20.244618499376905,-19.715743896440088,-14.761071766388252,0.0,-7.450099904814799,-7.487506248512118,0.14291192888242285,-0.4479610330363893,-0.7528120039513461,-0.4606312844030839,-43.52721295644863,41.48959968999992,89.70990519273181,0.0,-9.933466539753063,-9.983341664682815
0.7700000000000005,6.720899073709123,-6.172127248014412,-17.746372516316267,19.75322123426896,-19.24256238006372,-13.93178917605654,0.0,-7.5494345702123296,-7.587339665158947,0.09683787257476043,-0.43615335523868115,-0.7741122169347062,-0.4484896350437428,-49.13972651079461,47.318151637636795,82.9282590331712,0.0,-9.933466539753063,-9.983341664682815
0.7800000000000005,6.913004477975009,-6.359284259334934,-17.878167888633165,19.210540426588533,-18.71570113205218,-13.179537231689608,0.0,-7.64876923560986,-7.687173081805775,0.04987539348258402,-0.42291685639631893,-0.7934319436561402,-0.43487875147775656,-54.268080768042665,52.686124801154364,75.22519443669327,0.0,-9.933466539753063,-9.983341664682815
0.7900000000000005,7.099226857154946,-6.540690318808369,-18.003297494579257,18.622237917993743,-18.140605947343513,-12.512960594609433,0.0,-7.748103901007391,-7.7870064984526035,0.002154161796261666,-0.40824128730936715,-0.8106246767421167,-0.4197880946140387,-58.830250859479065,57.50951847086638,66.65766370801745,0.0,-9.933466539753063,-9.983341664682815
0.8000000000000005,7.279174556979788,-6.715925730005878,-18.122697258682802,17.994769982484183,-17.52354111975094,-11.939976410354449,0.0,-7.8474385664049215,-7.886839915099432,-0.04618487569427062,-0.39212273746401166,-0.8255455613418144,-0.40321364333274146,-62.74679355095612,61.706482759256986,57.29841842549841,0.0,-9.933466539753063,-9.983341664682815
0.8100000000000005,7.452528021239033,-6.884641258259889,-18.237373405559257,17.335346425924456,-16.87155282540111,-11.467614687645698,0.0,-7.946773231802452,-7.98667333174626,-0.09498954583631168,-0.37456409486299835,-0.8380523594044614,-0.38515836732166386,-65.94235565597259,65.19882943498304,47.2361722708751,0.0,-9.933466539753063,-9.983341664682815
0.8200000000000005,7.619046759535094,-7.046565423704382,-18.348392003875034,16.651873829606142,-16.1924165444493,-11.101859831577572,0.0,-8.046107897199983,-8.086506748393088,-0.14409658041936474,-0.35557549595396454,-0.8480064730820126,-0.36563268973047774,-68.34725963183143,67.91362809518093,36.575485606812485,0.0,-9.933466539753063,-9.983341664682815
0.8300000000000005,7.778575583583104,-7.201511102696617,-18.456866967991598,15.952882404800967,-15.49456789922358,-10.847496411656417,0.0,-8.145442562597513,-8.186340165039915,-0.19333183475579782,-0.3351747612018008,-0.8552740244272802,-0.3446549350629363,-69.89914248051755,69.78486452257226,25.43634199211551,0.0,-9.933466539753063,-9.983341664682815
0.8400000000000005,7.931049945653581,-7.34938126832255,-18.563946593103474,15.247436207047697,-14.787016562593234,-10.707962511187523,0.0,-8.244777227995042,-8.286173581686743,-0.24251059957317286,-0.3133878115439174,-0.8597269877790968,-0.32225175741127465,-70.54461977532705,70.75513366303446,13.953390046889417,0.0,-9.933466539753063,-9.983341664682815
0.8500000000000005,8.076500213480427,-7.490173700416474,-18.670798735372745,14.545026782684713,-14.079243209392386,-10.685214226927055,0.0,-8.344111893392572,-8.38600699833357,-0.2914380120045627,-0.2902490606747818,-0.8612443704009873,-0.298458543836229,-70.24094243629833,70.77733532008475,2.2748284260468035,0.0,-9.933466539753063,-9.983341664682815
0.8600000000000005,8.215054720315994,-7.6239844988579035,-18.778594785923854,13.855450683556567,-13.381079844143011,-10.779605055110837,0.0,-8.443446558790102,-8.485840414980398,-0.33990957112929504,-0.2658017778332181,-0.8597134360718921,-0.2733197874155111,-68.95760991281462,69.81633652493744,-9.439082818378234,0.0,-9.933466539753063,-9.983341664682815
0.8700000000000006,8.346941437167013,-7.751010241224386,-18.888492625923142,13.188671685101905,-12.702574236648267,-10.989783999928656,0.0,-8.542781224187632,-8.585673831627226,-0.3877117630926101,-0.24009841551793548,-0.8550309654214289,-0.24688942422853125,-66.67789984546613,67.85056074947438,-21.017894481781966,0.0,-9.933466539753063,-9.983341664682815
0.8800000000000006,8.472488126895158,-7.8715486375065815,-19.001618788535854,12.554668972814493,-12.0538396282195,-11.312616261271236,0.0,-8.642115889585162,-8.685507248274053,-0.43462280031323347,-0.21320089633912429,-0.8471045458637385,-0.21923112832138278,-63.40027122874116,64.87346084287685,-32.2832261342579,0.0,-9.933466539753063,-9.983341664682815
0.8900000000000006,8.592120857048494,-7.985997550792826,-19.11905009142192,11.96327301533356,-11.44489132862439,-11.743130288606338,0.0,-8.741450554982691,-8.78534066492088,-0.4804134786678712,-0.18518085303257936,-0.8358538830199277,-0.19041855850958994,-59.139595748093384,60.89482995951093,-43.051402733510095,0.0,-9.933466539753063,-9.983341664682815
0.9000000000000006,8.70636077015266,-8.09485227378093,-19.241795039586503,11.423991310416671,-10.88547229881046,-12.274494816458365,0.0,-8.840785220380221,-8.885174081567708,-0.5248481558168007,-0.1561198155237828,-0.8212121245374571,-0.16053555073316195,-53.92817049168884,55.94190298139297,-53.13645278520273,0.0,-9.933466539753063,-9.983341664682815
